Number,Gender,Title,GivenName,MiddleInitial,Surname,StreetAddress,City,State,ZipCode,Username,Password,BrowserUserAgent,Birthday,Age
1,female,Ms.,Paula,J,Coleman,"4108 Briarhill Lane",Akron,OH,44308,Ansted,Pae0jo5ipe,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 Edge/18.17763",4/15/2000,19
2,male,Mr.,Harold,A,Hamilton,"3832 Geraldine Lane","New York",NY,10007,Hurn1978,gae9FooB,"Mozilla/5.0 (X11; Linux x86_64; rv:60.0) Gecko/20100101 Firefox/60.0",4/13/1978,41
3,male,Mr.,Mark,M,Cardenas,"3897 Fairmont Avenue",Otterville,MO,65348,Fortiong,XiePiTh6Ee,"Mozilla/5.0 (Windows NT 6.1; rv:60.0) Gecko/20100101 Firefox/60.0",9/2/1976,43
4,male,Mr.,Adrian,M,Giguere,"1800 Randolph Street",Worcester,MA,01609,Notheire,ohno1Tee,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Ubuntu Chromium/73.0.3683.86 Chrome/73.0.3683.86 Safari/537.36",5/31/1978,41
5,male,Mr.,Jerome,O,Locklear,"4052 Kerry Way",Gardena,CA,90248,Soldre,ooGh4aeGie,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.103 Safari/537.36",8/9/1991,28
6,female,Ms.,Violet,M,Jordan,"4890 Tea Berry Lane","Eau Claire",WI,54701,Lenct1967,eew4heec0Ai,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_3) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/12.0.3 Safari/605.1.15",8/30/1967,52
7,male,Mr.,Emanuel,B,Rodriguez,"2043 Hickman Street",Bensenville,IL,60106,Hinflid,oa8aeHei4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",4/23/1997,22
8,male,Mr.,Carlos,M,Harvey,"2078 Joes Road","North Greenbush",NY,12144,Yoursing1989,aivohH3chae,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.157 Safari/537.36",12/5/1989,29
9,female,Mrs.,Velma,V,Dyer,"2789 Broadway Street",Charleston,SC,29405,Inattleaces,Ahgh2wuo4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.108 Safari/537.36",9/19/2000,19
10,female,Mrs.,Kristie,M,Witt,"3763 Pride Avenue","New York",NY,10014,Lanstritally,Theub3ladie,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/11.1.2 Safari/605.1.15",4/8/1968,51
